	1ezq_RPR_LIG	1f0r_815_LIG	1f0s_PR2_LIG	1fax_DX9_LIG	1g2l_T87_LIG	1g2m_R11_LIG	1ioe_XMA_LIG	1iqe_XMB_LIG	1iqf_XMD_LIG	1iqg_XME_LIG	1iqh_XMF_LIG	1iqi_XMG_LIG	1iqj_XMH_LIG	1iqk_XMI_LIG	1iql_XMJ_LIG	1iqm_XMK_LIG	1iqn_XMC_LIG	1ksn_FXV_LIG	1mq5_XLC_LIG	1mq6_XLD_LIG	1nfu_RRP_LIG	1nfw_RRR_LIG	1nfx_RDR_LIG	1nfy_RTR_LIG	1v3x_D76_LIG	1wu1_D91_LIG	1xka_4PP_LIG	1z6e_IK8_LIG	2bok_784_LIG	2cji_GSK_LIG	2d1j_D01_LIG	2ei6_D92_LIG	2ei7_D93_LIG	2ei8_DT8_LIG	2fzz_5QC_LIG	2g00_4QC_LIG	2h9e_DTY_LIG	2j2u_GSQ_LIG	2j34_GS6_LIG	2j38_GS5_LIG	2j94_G15_LIG	2j95_GSX_LIG	2jkh_BI7_LIG	2p16_GG2_LIG	2p93_ME1_LIG	2p94_ME4_LIG	2p95_ME5_LIG	2phb_230_LIG	2pr3_237_LIG	2q1j_FXI_LIG	2ra0_JNJ_LIG	2uwl_895_LIG	2uwo_701_LIG	2uwp_894_LIG	2vh0_GSI_LIG	2vvc_LZF_LIG	2vvu_H22_LIG	2vwl_LZH_LIG	2vwm_LZI_LIG	2vwn_H25_LIG	2vwo_LZG_LIG	2w26_RIV_LIG	2w3i_L1C_LIG	2w3k_L1D_LIG	2wyg_461_LIG	2wyj_898_LIG	2xbv_XBV_LIG	2xbw_455_LIG	2xbx_RR8_LIG	2xby_63C_LIG	2xc0_8NC_LIG	2xc4_IVK_LIG	2xc5_OYJ_LIG	2y5f_XWG_LIG	2y5g_FJD_LIG	2y5h_Y5H_LIG	2y7x_MZA_LIG	2y7z_C0Z_LIG	2y80_439_LIG	2y81_931_LIG	2y82_930_LIG	3cen_FXA_LIG	3cs7_LG0_LIG	3ffg_FFG_LIG	3iit_D14_LIG	3kl6_443_LIG	3kqb_LGJ_LIG	3kqc_LGK_LIG	3kqd_LGL_LIG	3kqe_LGM_LIG	3liw_RUP_LIG	3m36_M35_LIG	3m37_M37_LIG	3q3k_D90_LIG	3tk5_D1Q_LIG	3tk6_D46_LIG	4y6d_48U_LIG	4y71_48W_LIG	4y76_4O1_LIG	4y79_4O6_LIG	4y7a_987_LIG	4y7b_44I_LIG	4zh8_4O4_LIG	4zha_4O5_LIG	5k0h_6PK_LIG	5vof_RIV_LIG
complex_1	1.65987	1.26491	1.34329	10.15201	1.77693	1.93674	1.05296	9.75465	8.99362	0.84848	1.49603	9.64639	9.24801	1.64179	1.95726	1.59825	2.30921	0.41661	10.38895	3.22266	8.55534	0.44443	8.72816	8.36674	9.33859	0.42834	8.73575	3.46739	8.79391	8.85999	1.8083	7.60962	1.54114	7.86182	1.56477	1.62001	9.41851	7.86658	8.76558	9.12734	9.51235	9.43801	8.43126	0.85107	1.80112	2.62316	4.7559	3.17672	0.68422	1.32699	1.39455	8.3257	8.64255	8.18287	2.29021	1.50948	1.09022	1.69722	1.69198	1.21321	1.12563	1.71948	6.47247	0.73446	2.07073	4.19894	6.40553	6.3826	1.83529	0.95037	7.06129	6.38573	6.70378	8.14081	9.18694	8.00561	9.31771	9.65002	9.29005	3.90799	9.20959	1.98087	0.9615	1.98055	7.71951	1.0184	1.92403	1.76054	1.82687	1.74859	9.11823	2.25337	2.22429	1.75673	11.78981	10.54781	1.94777	9.44364	7.86533	7.92605	8.98897	8.60528	8.26214	2.94161	6.15772	8.22343
step1_200.xyz_1	1.65077	1.28432	1.38274	10.14038	1.76443	1.96212	1.07939	9.69726	8.89358	0.83237	1.44536	9.69634	9.13986	1.56691	1.93585	1.62585	2.30286	0.43286	10.32156	3.20767	8.66701	0.47802	8.79913	8.4357	9.55903	0.46757	8.74	3.61306	8.87488	8.8469	1.90439	7.78886	1.59035	7.96	1.5157	1.58899	9.64551	7.96156	8.89364	9.23234	9.58813	9.48461	8.53462	0.82123	1.78344	2.59635	4.94597	3.19369	0.64312	1.31451	1.3527	8.4185	8.68423	8.30227	2.39256	1.55032	1.23882	1.84796	1.75252	1.368	1.29186	1.72073	6.52519	0.75543	2.03284	4.22131	6.57459	6.48457	1.84244	1.07739	7.17239	6.48561	6.85399	8.24645	9.32066	8.27838	9.51747	9.81215	9.42072	3.86561	9.32633	2.01646	0.93664	2.08335	7.87746	0.96271	1.90836	1.87731	1.91004	1.84961	9.10328	2.23239	2.22266	1.81364	11.76712	10.59553	1.89108	9.57682	7.94303	8.05512	9.05793	8.72476	8.42138	2.99701	6.17186	8.42483
step2_200_2000_5.0_16930.xyz_1	1.98709	2.47363	1.47514	15.22577	4.78871	3.06098	1.50699	10.29571	9.66644	3.226	6.45049	10.17983	9.96193	2.09456	13.49982	3.73297	4.19436	3.00625	10.86958	3.50775	13.40018	2.14105	8.88919	9.28191	15.97981	2.70455	8.61497	4.67148	9.11101	9.56464	2.84252	8.26168	2.75578	7.99	10.52655	4.14514	7.55503	7.11203	9.35002	9.50255	9.14532	9.87998	7.90349	3.49522	4.38322	3.4014	5.33813	4.5816	2.4409	2.72486	3.63832	8.35866	8.91616	8.14822	3.83337	2.43366	2.62117	3.33134	4.11492	3.17966	4.70195	4.442	6.96478	2.10667	4.57316	6.54207	6.4452	6.63968	2.98432	5.0525	8.1458	6.12136	6.41985	8.12016	9.32805	7.15946	10.05762	10.75087	9.83838	10.59028	9.50375	2.67831	2.95317	12.50174	8.48572	2.4566	3.18137	3.15825	3.191	3.22749	9.89365	4.26219	4.00739	14.53984	11.29721	10.95483	3.2834	15.24402	7.69773	7.51995	8.81203	9.75689	9.02692	10.48121	6.85031	10.06805
step2_200_2000_5.0_2177.xyz_1	1.80584	15.36265	2.57393	9.79262	3.09271	1.81138	1.58436	9.67284	9.6869	11.14596	3.42231	9.82555	9.31925	3.88702	2.91751	3.10503	1.87103	10.07117	10.04756	2.36207	8.6405	3.47465	9.77645	8.6827	10.12556	3.00441	8.20171	3.81201	9.61745	10.12519	1.8015	8.22981	2.90181	8.30026	10.44814	3.16924	11.70841	7.56172	8.7165	9.50231	10.23036	9.44605	8.7201	2.15381	1.76239	3.15922	5.18383	4.22678	1.66796	1.78346	6.0482	8.01329	8.6633	8.84337	2.49586	3.99608	1.5588	4.07022	2.63807	2.06222	1.25636	2.28381	5.95085	2.49187	4.94261	5.99438	6.48422	5.60727	2.40119	1.95314	6.8674	5.4264	6.61271	8.52813	9.41476	7.78856	9.42605	11.82878	9.61192	5.23962	10.82869	2.54485	1.21173	1.97949	8.10034	2.28481	2.0863	3.29142	2.72266	3.09438	9.44332	3.4941	3.48444	2.66099	10.71311	10.58645	1.96572	9.717	8.29711	8.7653	9.13602	8.87544	8.69036	3.56926	6.12637	9.71254
step2_200_2000_5.0_27766.xyz_1	2.55225	1.90827	1.556	9.87394	2.65454	6.27408	3.39147	9.54247	10.79143	2.1807	2.31167	9.565	11.48187	14.03155	2.17147	1.23939	1.74686	1.36955	11.55336	2.50464	9.17842	10.34083	8.67905	8.93414	9.44462	7.79904	7.39026	4.08215	9.00992	8.50625	7.26157	13.39993	10.82393	8.6174	1.01121	1.27906	8.1363	8.06561	7.77399	8.94534	10.15074	8.67676	13.4736	1.58805	1.99065	14.39427	5.14578	3.52347	2.54939	2.4156	1.79548	7.22867	10.31441	10.14251	3.31031	1.77083	1.8876	1.8336	3.20782	5.18899	4.20152	2.2804	8.47428	3.26336	1.70891	2.38066	6.67179	6.13633	3.97496	1.26015	8.13827	6.7743	7.35325	11.71466	11.12065	8.15754	9.48197	10.51316	8.96995	4.76151	17.28039	2.37062	1.70983	2.32046	8.77772	9.09094	4.51022	1.41083	1.7746	2.73772	9.9786	2.68235	2.39076	4.92792	10.58249	10.67181	3.82453	9.43947	8.22391	9.52162	8.47047	7.91451	9.01279	3.44938	6.88401	8.44401
step2_200_2000_5.0_28005.xyz_1	1.96813	2.68269	2.67122	9.83026	1.68597	3.30554	1.85673	10.10178	9.65866	1.92256	1.6304	9.48391	9.23072	2.6156	1.80243	3.40368	2.13157	2.3	10.59529	2.35447	9.3264	3.28936	9.02115	8.78725	9.96816	2.00346	7.83339	3.75468	11.67652	8.22756	2.38261	8.03995	2.3386	7.7042	3.30068	1.89758	10.56568	8.23083	8.33297	9.55873	9.61659	9.52459	13.16953	2.41474	2.86584	2.58731	4.70553	7.12069	3.03025	3.20144	1.48934	8.72839	8.02547	8.73832	3.56544	2.78806	2.18148	3.42583	2.6786	2.88423	3.46595	2.46611	7.38133	1.5107	2.27345	2.13834	6.19718	7.25296	2.92741	2.15508	6.54526	6.33589	7.55397	9.18465	9.33372	7.181	8.74239	9.92162	8.90128	4.52001	10.93656	2.16106	1.6664	3.34218	8.07231	1.77533	3.46013	2.29709	2.18623	1.83225	9.17593	3.56908	2.92151	2.76162	13.76788	9.07574	3.36493	8.85121	7.52309	7.38396	8.9095	7.93941	9.08331	3.47531	6.20835	7.91953
step2_200_2000_5.0_4094.xyz_1	1.68168	2.37021	2.24605	10.06797	2.07177	3.46321	1.76147	9.69212	8.4298	1.87958	3.42338	9.26207	8.85318	3.66267	4.0089	1.69603	2.27541	2.35815	9.76893	3.50903	9.33079	1.3829	8.11816	7.6014	9.79619	1.73737	9.01058	4.65904	9.04472	8.82441	4.0151	8.02961	3.22683	8.40727	1.64487	1.7276	8.06606	8.08466	10.28818	9.50397	9.53852	9.66929	8.46859	2.49865	3.9836	4.04259	4.87413	3.41731	1.66935	4.24605	1.38347	7.98838	9.09312	8.88087	3.95026	3.11158	4.30279	4.0765	2.57257	2.52167	3.68108	2.82076	7.58917	2.43181	2.47214	3.46336	6.10854	6.23624	3.46898	4.12742	7.39572	6.34553	6.42156	8.83005	8.43195	8.20072	9.69458	10.33954	9.01242	4.92451	8.11949	3.55306	2.16038	3.84891	6.98513	2.88732	1.91944	2.0362	2.37935	2.97396	9.36449	4.00188	4.81703	4.14965	12.50303	9.14659	2.99862	9.46141	7.48145	7.42953	8.68	9.16708	8.7151	3.51194	6.79166	8.39845
step2_200_2000_5.0_47873.xyz_1	2.91968	2.802	3.87916	9.33764	13.44792	3.24667	3.01519	9.91094	9.07111	3.73253	2.37339	9.56124	9.21043	3.31368	2.10583	3.45322	1.93217	3.35324	10.83147	3.09085	8.86663	2.80051	9.20443	8.69237	9.39339	3.95007	8.62792	9.34163	10.15579	8.1197	4.20643	8.17779	3.69691	7.74982	4.22014	1.93332	10.22911	8.47246	9.22024	9.40692	9.6116	10.11388	8.01311	1.81287	4.47556	3.69884	5.30352	5.66943	3.23403	2.33896	8.8042	9.41242	8.50812	8.62351	6.40634	2.67892	3.87036	3.55268	2.77236	1.94317	4.58746	1.70887	6.81674	2.46135	2.81231	6.38963	7.02374	7.06506	4.09872	3.29246	7.39217	7.49466	7.59258	8.36351	7.99337	9.09668	9.36875	10.28848	7.46302	6.64486	9.42654	2.51459	3.08989	4.49481	8.00568	2.3081	4.1882	4.34854	3.24509	3.74891	8.60007	3.23272	2.85555	2.92181	11.99752	10.80081	1.87136	10.62937	7.75386	7.96579	10.40474	7.96538	8.5323	4.37321	5.52684	8.95659
step2_200_2000_5.0_77285.xyz_1	2.38996	2.46467	2.4624	10.31039	2.32541	2.55908	2.55794	9.98025	9.08435	3.46327	3.48611	9.68116	9.39208	2.0439	2.72605	1.91404	3.06783	2.72633	10.69719	3.57333	8.74135	1.10116	8.77673	13.92744	9.08262	2.07683	8.5525	7.03389	8.85309	9.19798	3.76863	8.05892	3.52479	7.69158	2.21852	3.37061	8.52155	8.01564	9.21651	8.74091	9.9961	9.38535	8.58034	3.30359	2.45437	4.28808	5.01242	3.86458	1.98265	5.24147	2.39311	7.13113	9.20042	7.73605	4.14996	3.1054	1.78363	3.11256	10.52007	2.59748	2.14024	3.45717	6.34421	5.00387	1.94312	5.08708	7.00649	8.03241	1.86212	1.70954	6.9958	5.44558	7.24408	8.80978	9.33609	7.97868	11.80405	9.31687	8.95408	2.14432	9.09854	3.17761	1.47287	3.1672	8.19284	2.53632	2.42083	2.96301	3.24201	3.73156	8.74355	2.36241	2.42593	3.03147	9.72086	10.52967	2.1899	9.17579	7.84126	9.52704	8.86211	8.53651	8.61408	4.30757	6.13245	8.12105
step2_200_2000_5.0_85412.xyz_1	2.08608	3.66776	16.90399	13.01758	2.00616	1.82252	3.35033	10.79656	8.16929	0.8061	1.87086	8.98801	9.4168	1.87428	3.55234	2.98843	2.6742	1.03538	10.60437	13.36623	9.17776	2.2926	8.77701	10.00545	9.5231	2.48386	10.29247	4.54921	9.04119	8.79335	1.82169	7.58898	2.02133	7.56167	2.04169	2.15496	9.45477	8.18218	8.65472	8.82055	10.27473	9.06768	8.21778	1.70758	2.65581	2.69895	5.32585	1.97221	1.99784	2.7632	1.58349	8.70432	8.35592	8.42268	4.30008	10.43123	2.39535	2.61575	10.78592	2.07605	4.49761	2.54012	6.80717	1.62054	2.4476	4.61325	5.81472	5.10458	12.65241	0.99081	7.92558	5.94518	7.05866	8.46129	8.9816	7.44742	8.95078	11.06514	9.22114	5.29996	10.68754	2.24221	1.91608	2.98399	8.0052	3.4606	2.01797	2.19637	3.27574	2.99197	9.33719	2.35325	2.46537	2.97704	11.67337	12.71645	2.41637	9.98138	7.9717	8.62178	8.94722	8.48103	13.77538	4.42024	5.75574	8.8497
step2_200_2000_5.0_86398.xyz_1	2.14139	3.57753	3.67264	10.02196	2.94908	3.98868	2.29687	10.11516	8.86538	2.58946	1.60743	9.90055	9.32823	2.16779	5.3849	4.6155	2.5201	1.11915	9.92725	3.24953	8.56506	3.50098	8.66565	7.98187	9.77958	1.35087	9.3931	4.46692	8.96935	9.1659	3.17697	9.08266	1.93042	7.54708	1.5216	4.15452	8.89962	7.52884	8.70566	9.23314	9.38972	9.57414	8.63615	1.01535	1.7459	2.55246	5.14766	2.215	1.9515	1.71243	5.48548	8.79984	8.8764	8.09368	2.85732	2.18303	2.01175	4.25637	1.90394	1.56846	1.89677	6.96117	5.98065	4.06121	2.36344	6.00512	6.28699	6.14058	1.77463	2.74461	6.94225	6.64104	6.71643	8.30484	9.80517	8.90773	9.90532	11.12746	8.77578	1.50445	8.98635	2.25163	1.67477	3.50749	7.74226	0.91132	2.56541	1.96272	1.91013	3.03887	9.66092	3.35144	3.25009	2.20141	11.22773	10.66479	4.2844	10.8515	7.75788	8.64552	9.4903	10.32309	8.10263	4.5798	6.9804	9.08633
step2_200_2000_5.0_86498.xyz_1	2.2585	3.2359	2.27484	10.62499	2.79805	2.63127	5.61262	9.25927	9.25888	2.50001	2.2912	9.89776	9.42449	3.43803	3.32235	3.66722	2.24832	1.5951	10.58347	2.86859	8.63272	2.36999	8.54695	10.88436	9.5818	1.70136	9.67712	6.12245	8.71333	8.94827	3.03013	8.75533	3.35586	7.55666	3.34212	3.66163	11.07118	8.82878	8.78537	9.73068	10.73854	10.33345	8.16526	2.04864	3.23088	2.24606	4.47071	5.9923	1.43302	4.92534	4.41825	9.78996	9.62507	9.73724	4.02491	3.85639	2.11194	4.55736	2.98744	3.18782	3.45643	5.55876	6.7335	1.58149	1.85342	5.68707	6.15667	6.15974	2.53478	3.14619	7.81714	6.0716	8.20519	7.9639	9.0268	8.17964	10.89168	10.05126	9.87303	4.87555	9.57461	2.34985	4.47518	4.56249	8.7038	2.52238	3.13674	3.62746	1.95886	2.78135	9.97024	4.51778	4.63023	2.46451	12.78256	10.48106	2.32214	8.47774	8.70422	9.00621	9.9527	8.30681	8.32354	6.99126	6.18669	8.84459
complex_2	0.31789	8.94249	1.92489	10.41052	1.83663	2.93647	8.90496	9.91818	1.37532	2.30783	9.57312	2.01624	9.73195	1.28997	0.96528	1.75672	8.58722	2.19039	8.91123	7.35846	8.54216	8.55134	1.0564	8.36892	8.69487	2.90442	10.35875	2.69763	8.49906	8.93146	3.2572	8.39847	8.64337	4.31836	1.32171	1.32396	9.41361	9.16506	8.0607	8.54207	8.30505	9.77855	7.96462	2.49674	2.15365	1.01322	1.29513	3.83013	1.25107	1.73408	7.67504	8.08117	9.55464	2.48943	9.20567	1.95462	1.6748	1.74396	2.63095	1.79221	1.62128	8.8955	7.54003	7.67752	4.28884	2.49431	1.21227	1.52461	6.21837	2.96412	1.46525	6.77467	1.34575	7.17192	6.88804	7.96675	8.8885	9.03057	1.55182	8.99348	10.14647	6.70067	11.81809	4.3546	7.23447	8.84166	4.46725	4.38886	1.59992	2.02887	9.05407	2.75059	2.24847	12.00968	7.6925	10.55933	2.08901	9.622	9.58045	8.63084	9.4214	9.17469	8.48649	3.43904	8.80517	8.26171
step1_200.xyz_2	0.4662	8.97282	1.94575	10.33939	1.85332	2.95122	8.90679	9.92997	1.32037	2.32798	9.52458	1.98097	9.65238	1.1475	0.86743	1.77639	8.51378	2.17335	8.88573	7.31141	8.66365	8.58928	1.03504	8.44969	8.72983	2.95208	10.48457	2.84954	8.58168	8.96857	3.25084	8.51016	8.78115	4.35238	1.36596	1.24203	9.43954	9.21786	8.22413	8.72675	8.40246	9.73211	8.06988	2.49437	2.20669	1.1122	1.35912	3.78851	1.21795	1.73154	7.67683	8.12163	9.51752	2.42332	9.2765	2.0361	1.81581	1.79399	2.66849	1.87863	1.79431	8.95321	7.60911	7.63729	4.42517	2.54375	1.2667	1.62109	6.27233	2.89795	1.52336	6.87761	1.30852	7.33323	6.98729	8.20706	9.01288	9.20321	1.52121	9.15115	10.3121	6.6612	11.88056	4.45485	7.30032	8.97458	4.54288	4.47535	1.74925	2.14956	9.02989	2.85084	2.22355	12.209	7.69044	10.61075	2.09823	9.7831	9.72237	8.65368	9.48959	9.30394	8.67149	3.4424	8.77537	8.46497
step2_200_2000_5.0_16930.xyz_2	3.50824	9.99029	4.11474	9.9552	3.95383	6.53554	8.74742	11.70752	3.69363	4.29761	10.44683	14.37761	10.59	1.3388	3.09925	3.41285	8.52495	4.13404	9.24719	7.95431	8.65565	8.31696	1.64059	8.72804	8.87597	3.31147	10.22806	4.07371	9.37689	8.2372	3.34599	8.39469	9.01119	5.80824	3.26099	5.00984	7.25538	10.31249	8.81141	10.0863	7.67075	9.15613	9.25318	5.48146	3.88603	2.44847	2.06649	5.07302	1.92177	2.75765	8.42242	7.44404	11.66428	3.41023	10.87995	4.36319	3.23995	2.71633	12.23154	3.39774	4.00727	12.00502	6.98777	7.6412	7.56812	4.50739	2.4009	2.91674	6.50037	3.34915	2.93888	7.03354	2.16532	7.67285	8.00633	7.29284	9.68693	9.75279	3.41535	8.87553	11.70589	6.24105	11.86392	12.90091	7.78368	9.08974	5.02642	17.29601	2.95779	3.76502	9.73322	4.56812	3.96331	13.69367	7.58823	10.2125	3.81956	9.34109	9.76856	8.59245	10.69535	9.26203	8.12572	3.5345	8.06241	10.28643
step2_200_2000_5.0_2177.xyz_2	1.27849	7.94543	2.70007	10.95751	3.09137	2.78191	8.42494	9.39418	1.62857	2.78786	9.51026	2.48364	9.48075	3.55674	2.22598	2.99135	8.51984	2.6918	8.85916	9.75979	8.78513	9.78977	2.32822	7.94315	5.70288	3.94732	11.76866	4.59879	8.27538	9.98497	2.58734	9.34316	9.30453	5.28305	1.57301	5.62097	9.70347	9.04827	9.17322	8.42142	11.05788	9.42455	7.57342	4.74643	2.3338	2.43571	2.49013	3.88617	2.56377	2.97889	8.42076	7.96392	9.507	2.68845	15.84129	5.58765	2.23796	3.542	2.84938	2.18962	2.17822	9.23057	7.62152	7.47672	9.75829	5.03896	1.97979	2.98338	5.4789	2.02544	11.32352	5.42812	2.40743	7.81242	7.26305	8.90808	9.46392	9.46883	4.43042	10.39645	9.8322	6.5801	12.00827	4.7307	11.66598	10.25784	4.89719	6.12032	2.68418	3.39512	8.56507	7.01829	4.84096	11.83558	7.98826	10.98078	1.95059	9.74644	9.78239	8.99721	9.41641	8.64348	10.28163	2.99819	8.34248	9.23514
step2_200_2000_5.0_27766.xyz_2	1.65904	9.06961	2.88022	10.8128	3.28207	3.9704	9.22937	10.17284	4.97868	2.10721	9.03047	2.95784	10.08211	1.85363	1.16868	1.31225	8.95291	2.65386	13.10651	7.59611	8.5077	8.35727	3.90028	8.67645	7.20369	8.76399	9.77668	2.47444	8.77823	8.83669	3.98474	8.43027	8.37863	3.82172	1.91651	1.28134	7.78561	8.98437	8.84729	8.21568	7.91846	8.9907	7.83528	1.5784	1.61913	9.80426	6.58878	6.02351	1.12316	2.70665	7.88206	9.27036	11.62948	3.05838	10.46552	2.59388	2.56309	1.88533	2.98429	2.8226	2.2207	9.4128	12.86918	6.92017	3.58214	2.46785	3.61759	5.08518	7.06917	4.27559	1.44245	7.31393	2.8704	14.25452	8.48042	8.34685	9.23251	8.60297	2.27706	8.26203	10.03191	5.92161	11.77783	5.04933	8.17977	8.72073	6.1568	4.17613	1.76675	1.4131	8.38434	4.15682	12.07876	14.33399	8.62292	10.89513	3.88628	9.92828	9.47568	9.17893	8.57696	9.97287	8.80037	3.13533	8.12984	8.22623
