,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
nef_Ra,0,0.32,0.36,0.33333,0.42667,0.46667,0.45333,0.45333,0.53333,0.46667
nef_Ra,1,0.41333,0.4,0.34667,0.44,0.45333,0.48,0.49333,0.52,0.49333
nef_Ra,2,0.33333,0.37333,0.33333,0.48,0.41333,0.42667,0.44,0.44,0.46667
nef_Ra,3,0.25333,0.30667,0.29333,0.36,0.36,0.33333,0.37333,0.38667,0.45333
nef_Ra,4,0.33333,0.42667,0.41333,0.45333,0.44,0.50667,0.54667,0.46667,0.58667
nef_Ra,5,0.28,0.32,0.36,0.44,0.42667,0.45333,0.4,0.48,0.46667
nef_Ra,6,0.30667,0.34667,0.38667,0.38667,0.44,0.44,0.41333,0.46667,0.41333
nef_Ra,7,0.30667,0.30667,0.30667,0.38667,0.36,0.42667,0.38667,0.4,0.44
nef_Ra,8,0.28,0.29333,0.32,0.4,0.34667,0.36,0.33333,0.42667,0.38667
nef_Ra,9,0.28,0.36,0.30667,0.45333,0.44,0.36,0.45333,0.44,0.44
nef_Ra,10,0.37333,0.36,0.4,0.49333,0.52,0.45333,0.42667,0.49333,0.50667
nef_Ra,11,0.32,0.21333,0.33333,0.36,0.41333,0.38667,0.37333,0.45333,0.42667
nef_Ra,12,0.33333,0.4,0.4,0.48,0.50667,0.48,0.46667,0.45333,0.52
nef_Ra,13,0.30667,0.37333,0.37333,0.44,0.37333,0.44,0.46667,0.44,0.41333
nef_Ra,14,0.26667,0.30667,0.22667,0.41333,0.4,0.45333,0.36,0.44,0.38667
nef_Ra,15,0.28,0.33333,0.33333,0.45333,0.41333,0.42667,0.41333,0.44,0.42667
nef_Ra,16,0.32,0.33333,0.36,0.45333,0.41333,0.42667,0.4,0.48,0.44
nef_Ra,17,0.30667,0.37333,0.29333,0.36,0.41333,0.44,0.42667,0.42667,0.42667
nef_Ra,18,0.37333,0.4,0.37333,0.49333,0.44,0.44,0.49333,0.48,0.52
nef_Ra,19,0.28,0.26667,0.28,0.41333,0.4,0.4,0.33333,0.41333,0.36
nef_Ra,20,0.24,0.32,0.29333,0.41333,0.44,0.44,0.41333,0.4,0.48
nef_Ra,21,0.38667,0.32,0.44,0.46667,0.41333,0.46667,0.44,0.41333,0.42667
nef_Ra,22,0.29333,0.29333,0.36,0.45333,0.41333,0.41333,0.41333,0.42667,0.41333
nef_Ra,23,0.36,0.38667,0.34667,0.49333,0.45333,0.48,0.44,0.48,0.49333
nef_Ra,24,0.32,0.34667,0.33333,0.4,0.42667,0.44,0.4,0.45333,0.4
nef_Ra,25,0.38667,0.4,0.33333,0.48,0.45333,0.48,0.52,0.45333,0.50667
nef_Ra,26,0.28,0.33333,0.34667,0.46667,0.42667,0.44,0.4,0.44,0.53333
nef_Ra,27,0.24,0.28,0.26667,0.38667,0.36,0.38667,0.38667,0.38667,0.37333
nef_Ra,28,0.33333,0.29333,0.33333,0.48,0.41333,0.44,0.42667,0.42667,0.44
nef_Ra,29,0.29333,0.38667,0.36,0.42667,0.42667,0.46667,0.45333,0.45333,0.49333
nef_Ra,30,0.4,0.42667,0.46667,0.52,0.49333,0.52,0.45333,0.53333,0.52
nef_Ra,31,0.17333,0.21333,0.22667,0.33333,0.36,0.32,0.32,0.38667,0.41333
nef_Ra,32,0.30667,0.38667,0.30667,0.4,0.46667,0.41333,0.45333,0.41333,0.41333
nef_Ra,33,0.32,0.29333,0.32,0.46667,0.4,0.4,0.41333,0.50667,0.42667
nef_Ra,34,0.26667,0.33333,0.36,0.46667,0.34667,0.41333,0.41333,0.44,0.46667
nef_Ra,35,0.26667,0.42667,0.29333,0.44,0.41333,0.44,0.4,0.37333,0.44
nef_Ra,36,0.32,0.33333,0.29333,0.38667,0.4,0.45333,0.37333,0.48,0.42667
nef_Ra,37,0.28,0.36,0.4,0.48,0.42667,0.45333,0.41333,0.48,0.48
nef_Ra,38,0.34667,0.32,0.29333,0.41333,0.45333,0.44,0.38667,0.42667,0.44
nef_Ra,39,0.32,0.36,0.33333,0.44,0.36,0.41333,0.4,0.42667,0.42667
nef_Ra,40,0.32,0.34667,0.37333,0.38667,0.42667,0.38667,0.44,0.42667,0.46667
nef_Ra,41,0.32,0.29333,0.32,0.45333,0.30667,0.46667,0.45333,0.42667,0.46667
nef_Ra,42,0.26667,0.32,0.30667,0.4,0.38667,0.33333,0.36,0.37333,0.42667
nef_Ra,43,0.38667,0.36,0.37333,0.50667,0.48,0.49333,0.48,0.45333,0.49333
nef_Ra,44,0.30667,0.32,0.29333,0.36,0.4,0.38667,0.4,0.36,0.37333
nef_Ra,45,0.25333,0.32,0.33333,0.42667,0.37333,0.4,0.42667,0.44,0.4
nef_Ra,46,0.4,0.37333,0.38667,0.44,0.41333,0.46667,0.42667,0.52,0.48
nef_Ra,47,0.30667,0.37333,0.36,0.44,0.42667,0.44,0.41333,0.45333,0.46667
nef_Ra,48,0.33333,0.32,0.28,0.38667,0.34667,0.4,0.37333,0.45333,0.42667
nef_Ra,49,0.25333,0.29333,0.26667,0.42667,0.38667,0.37333,0.37333,0.4,0.41333
nef_Ra,50,0.33333,0.42667,0.30667,0.46667,0.42667,0.49333,0.46667,0.50667,0.45333
nef_Ra,51,0.29333,0.33333,0.38667,0.41333,0.49333,0.46667,0.48,0.49333,0.50667
nef_Ra,52,0.28,0.32,0.29333,0.46667,0.33333,0.4,0.42667,0.38667,0.44
nef_Ra,53,0.37333,0.33333,0.30667,0.41333,0.38667,0.38667,0.38667,0.4,0.37333
nef_Ra,54,0.29333,0.42667,0.36,0.50667,0.48,0.49333,0.45333,0.48,0.54667
nef_Ra,55,0.33333,0.30667,0.30667,0.34667,0.38667,0.36,0.36,0.42667,0.41333
nef_Ra,56,0.34667,0.33333,0.38667,0.37333,0.4,0.46667,0.52,0.50667,0.44
nef_Ra,57,0.33333,0.4,0.30667,0.45333,0.46667,0.45333,0.45333,0.44,0.50667
nef_Ra,58,0.22667,0.26667,0.30667,0.32,0.36,0.36,0.36,0.38667,0.38667
nef_Ra,59,0.29333,0.36,0.30667,0.48,0.37333,0.42667,0.45333,0.42667,0.48
nef_Ra,60,0.33333,0.38667,0.29333,0.48,0.45333,0.52,0.42667,0.49333,0.49333
nef_Ra,61,0.26667,0.30667,0.44,0.44,0.38667,0.42667,0.41333,0.46667,0.49333
nef_Ra,62,0.32,0.36,0.34667,0.41333,0.41333,0.41333,0.48,0.38667,0.42667
nef_Ra,63,0.32,0.32,0.33333,0.41333,0.45333,0.44,0.38667,0.45333,0.48
nef_Ra,64,0.26667,0.41333,0.33333,0.44,0.44,0.46667,0.44,0.44,0.48
nef_Ra,65,0.29333,0.32,0.25333,0.4,0.36,0.38667,0.37333,0.42667,0.44
nef_Ra,66,0.45333,0.41333,0.34667,0.45333,0.42667,0.48,0.49333,0.50667,0.49333
nef_Ra,67,0.26667,0.28,0.38667,0.38667,0.42667,0.41333,0.42667,0.41333,0.4
nef_Ra,68,0.32,0.36,0.36,0.42667,0.45333,0.46667,0.45333,0.49333,0.42667
nef_Ra,69,0.25333,0.29333,0.30667,0.37333,0.41333,0.4,0.41333,0.45333,0.38667
nef_Ra,70,0.29333,0.33333,0.38667,0.45333,0.41333,0.46667,0.44,0.46667,0.50667
nef_Ra,71,0.38667,0.34667,0.37333,0.48,0.46667,0.49333,0.4,0.50667,0.48
nef_Ra,72,0.32,0.32,0.4,0.45333,0.44,0.42667,0.42667,0.42667,0.44
nef_Ra,73,0.32,0.38667,0.33333,0.49333,0.42667,0.45333,0.4,0.42667,0.46667
nef_Ra,74,0.28,0.29333,0.32,0.33333,0.30667,0.32,0.30667,0.36,0.38667
nef_Ra,75,0.25333,0.32,0.32,0.53333,0.4,0.52,0.49333,0.50667,0.52
nef_Ra,76,0.33333,0.33333,0.37333,0.53333,0.42667,0.44,0.37333,0.49333,0.45333
nef_Ra,77,0.4,0.38667,0.38667,0.48,0.44,0.45333,0.48,0.48,0.52
nef_Ra,78,0.33333,0.36,0.4,0.41333,0.45333,0.49333,0.46667,0.42667,0.45333
nef_Ra,79,0.25333,0.24,0.30667,0.4,0.36,0.33333,0.33333,0.37333,0.41333
nef_Ra,80,0.36,0.38667,0.41333,0.4,0.45333,0.46667,0.46667,0.42667,0.45333
nef_Ra,81,0.32,0.32,0.4,0.46667,0.4,0.4,0.44,0.49333,0.48
nef_Ra,82,0.36,0.37333,0.29333,0.45333,0.44,0.38667,0.42667,0.45333,0.46667
nef_Ra,83,0.30667,0.34667,0.34667,0.41333,0.38667,0.4,0.41333,0.45333,0.48
nef_Ra,84,0.30667,0.41333,0.34667,0.44,0.4,0.46667,0.45333,0.46667,0.45333
nef_Ra,85,0.30667,0.34667,0.30667,0.41333,0.36,0.44,0.45333,0.42667,0.4
nef_Ra,86,0.33333,0.38667,0.33333,0.44,0.48,0.48,0.45333,0.45333,0.44
nef_Ra,87,0.24,0.29333,0.32,0.41333,0.36,0.4,0.38667,0.46667,0.44
nef_Ra,88,0.33333,0.32,0.33333,0.46667,0.42667,0.44,0.4,0.45333,0.44
nef_Ra,89,0.29333,0.4,0.29333,0.4,0.42667,0.44,0.50667,0.36,0.49333
nef_Ra,90,0.38667,0.38667,0.33333,0.42667,0.48,0.46667,0.48,0.49333,0.48
nef_Ra,91,0.30667,0.30667,0.36,0.4,0.33333,0.41333,0.44,0.46667,0.4
nef_Ra,92,0.37333,0.36,0.36,0.50667,0.45333,0.52,0.48,0.54667,0.52
nef_Ra,93,0.29333,0.33333,0.34667,0.4,0.36,0.46667,0.38667,0.44,0.41333
nef_Ra,94,0.24,0.36,0.30667,0.37333,0.41333,0.36,0.30667,0.36,0.38667
nef_Ra,95,0.36,0.33333,0.32,0.50667,0.46667,0.45333,0.48,0.48,0.44
nef_Ra,96,0.37333,0.41333,0.32,0.49333,0.44,0.48,0.45333,0.44,0.54667
nef_Ra,97,0.25333,0.37333,0.38667,0.48,0.45333,0.45333,0.42667,0.48,0.52
nef_Ra,98,0.33333,0.25333,0.34667,0.4,0.37333,0.4,0.37333,0.48,0.44
nef_Ra,99,0.28,0.32,0.32,0.36,0.37333,0.41333,0.38667,0.38667,0.37333
nef_Ra,100,0.34667,0.41333,0.33333,0.52,0.50667,0.49333,0.45333,0.50667,0.50667
nef_Ra,101,0.29333,0.34667,0.30667,0.41333,0.38667,0.44,0.42667,0.48,0.46667
nef_Ra,102,0.32,0.29333,0.33333,0.38667,0.44,0.4,0.45333,0.44,0.44
nef_Ra,103,0.28,0.34667,0.38667,0.42667,0.38667,0.45333,0.38667,0.46667,0.45333
nef_Ra,104,0.34667,0.34667,0.38667,0.45333,0.41333,0.50667,0.42667,0.45333,0.50667
nef_Ra,105,0.33333,0.37333,0.4,0.42667,0.46667,0.48,0.48,0.49333,0.49333
nef_Ra,106,0.34667,0.30667,0.29333,0.36,0.38667,0.4,0.44,0.44,0.42667
nef_Ra,107,0.25333,0.33333,0.32,0.42667,0.44,0.42667,0.41333,0.44,0.42667
nef_Ra,108,0.32,0.32,0.32,0.50667,0.45333,0.44,0.42667,0.45333,0.41333
nef_Ra,109,0.26667,0.36,0.36,0.48,0.38667,0.44,0.4,0.52,0.48
nef_Ra,110,0.41333,0.34667,0.36,0.38667,0.4,0.42667,0.44,0.41333,0.45333
nef_Ra,111,0.29333,0.37333,0.36,0.42667,0.41333,0.44,0.4,0.46667,0.41333
nef_Ra,112,0.29333,0.36,0.25333,0.44,0.44,0.45333,0.45333,0.44,0.42667
nef_Ra,113,0.26667,0.26667,0.28,0.38667,0.38667,0.38667,0.38667,0.48,0.38667
nef_Ra,114,0.34667,0.29333,0.33333,0.41333,0.38667,0.4,0.37333,0.41333,0.46667
nef_Ra,115,0.29333,0.4,0.41333,0.48,0.46667,0.41333,0.4,0.41333,0.42667
nef_Ra,116,0.34667,0.37333,0.34667,0.4,0.45333,0.45333,0.42667,0.45333,0.42667
nef_Ra,117,0.26667,0.38667,0.28,0.45333,0.45333,0.45333,0.38667,0.38667,0.45333
nef_Ra,118,0.32,0.38667,0.37333,0.48,0.42667,0.46667,0.50667,0.49333,0.52
nef_Ra,119,0.30667,0.25333,0.33333,0.42667,0.38667,0.30667,0.37333,0.37333,0.42667
roc_auc,0,0.73792,0.79819,0.79814,0.86803,0.82772,0.8415,0.85932,0.88441,0.87738
roc_auc,1,0.77189,0.80756,0.80463,0.85952,0.8301,0.84493,0.86024,0.86083,0.86413
roc_auc,2,0.73573,0.79185,0.78209,0.85435,0.82919,0.83945,0.84647,0.87078,0.88467
roc_auc,3,0.70254,0.74733,0.78078,0.81917,0.80156,0.78791,0.79576,0.85164,0.84368
roc_auc,4,0.78953,0.80987,0.8178,0.86535,0.83057,0.87145,0.85586,0.88218,0.91014
roc_auc,5,0.71521,0.77391,0.76869,0.84433,0.80943,0.79714,0.84081,0.85083,0.85203
roc_auc,6,0.72749,0.77342,0.78099,0.80702,0.81715,0.81541,0.83428,0.8641,0.84434
roc_auc,7,0.73893,0.73793,0.81815,0.83011,0.82347,0.81455,0.82539,0.83993,0.83167
roc_auc,8,0.73784,0.77544,0.76337,0.80416,0.80272,0.81733,0.82115,0.84292,0.84827
roc_auc,9,0.72274,0.77689,0.79381,0.86876,0.85834,0.84766,0.82161,0.86135,0.84327
roc_auc,10,0.7745,0.78421,0.81498,0.845,0.83949,0.85144,0.83889,0.85773,0.84658
roc_auc,11,0.72152,0.77943,0.77909,0.85263,0.82455,0.83064,0.83281,0.8628,0.8517
roc_auc,12,0.76749,0.81271,0.80119,0.86588,0.86261,0.85412,0.86549,0.86748,0.87517
roc_auc,13,0.77345,0.78909,0.81832,0.84009,0.83529,0.83607,0.83756,0.86476,0.85434
roc_auc,14,0.72963,0.7629,0.74881,0.82347,0.78674,0.81518,0.82668,0.84006,0.84423
roc_auc,15,0.7274,0.77148,0.7686,0.82427,0.82437,0.79443,0.82153,0.83692,0.82685
roc_auc,16,0.75595,0.71016,0.80406,0.86677,0.81462,0.81659,0.8331,0.85996,0.84173
roc_auc,17,0.73272,0.76829,0.77476,0.84846,0.82089,0.83993,0.8218,0.84512,0.83636
roc_auc,18,0.79568,0.77801,0.80363,0.83653,0.84458,0.82737,0.85908,0.88828,0.88526
roc_auc,19,0.70414,0.7538,0.74783,0.82465,0.77726,0.80256,0.7988,0.8243,0.83782
roc_auc,20,0.71475,0.77501,0.81204,0.83631,0.83217,0.82087,0.8559,0.86495,0.85736
roc_auc,21,0.74543,0.77364,0.84227,0.86862,0.85009,0.86196,0.87554,0.85913,0.87808
roc_auc,22,0.72875,0.75599,0.76187,0.8141,0.81696,0.78745,0.82278,0.83111,0.80903
roc_auc,23,0.77394,0.78508,0.80932,0.90157,0.85371,0.84402,0.86673,0.87681,0.87655
roc_auc,24,0.73359,0.78696,0.79885,0.84443,0.82515,0.80901,0.8335,0.8284,0.84073
roc_auc,25,0.76922,0.81122,0.78545,0.8483,0.82364,0.83543,0.85921,0.86619,0.891
roc_auc,26,0.77835,0.78256,0.81367,0.83533,0.82536,0.83582,0.85399,0.87146,0.87915
roc_auc,27,0.68829,0.70022,0.74295,0.82472,0.82431,0.77501,0.79262,0.79955,0.79947
roc_auc,28,0.75301,0.78942,0.80945,0.84951,0.85208,0.81492,0.84234,0.8763,0.86329
roc_auc,29,0.73734,0.79694,0.816,0.87594,0.83434,0.8425,0.85332,0.85715,0.86426
roc_auc,30,0.78791,0.79983,0.81624,0.86563,0.87659,0.87268,0.84583,0.86847,0.87385
roc_auc,31,0.67943,0.71284,0.74406,0.80983,0.76031,0.76388,0.7805,0.82085,0.82148
roc_auc,32,0.70921,0.79869,0.77952,0.84125,0.82548,0.825,0.82903,0.84565,0.83839
roc_auc,33,0.72281,0.78053,0.7901,0.83309,0.78339,0.82648,0.80158,0.85446,0.83735
roc_auc,34,0.72397,0.71017,0.78827,0.84817,0.805,0.82722,0.83736,0.86115,0.86207
roc_auc,35,0.70263,0.78476,0.7756,0.84112,0.82321,0.80815,0.81017,0.82705,0.85243
roc_auc,36,0.71597,0.78044,0.76536,0.85461,0.80925,0.82689,0.81614,0.85125,0.84681
roc_auc,37,0.71951,0.78001,0.83041,0.84091,0.83124,0.81763,0.85539,0.85544,0.86801
roc_auc,38,0.75671,0.78289,0.80657,0.8682,0.85494,0.84414,0.83328,0.85784,0.87117
roc_auc,39,0.77857,0.76373,0.76983,0.83381,0.81873,0.81787,0.82398,0.85273,0.82588
roc_auc,40,0.71046,0.79989,0.7878,0.83999,0.83037,0.82611,0.83511,0.8614,0.85059
roc_auc,41,0.77332,0.77342,0.78928,0.87274,0.78885,0.83724,0.81362,0.85611,0.85577
roc_auc,42,0.71897,0.70651,0.77893,0.81886,0.83561,0.82413,0.77095,0.83811,0.81595
roc_auc,43,0.76584,0.78245,0.82148,0.83691,0.86053,0.83989,0.8611,0.88089,0.86858
roc_auc,44,0.71757,0.79118,0.76493,0.83165,0.82738,0.7933,0.80643,0.8057,0.83074
roc_auc,45,0.71323,0.76956,0.76876,0.77145,0.8241,0.82679,0.83048,0.84506,0.84677
roc_auc,46,0.74025,0.78154,0.80697,0.86091,0.82251,0.86366,0.83906,0.86984,0.86814
roc_auc,47,0.77149,0.73626,0.79515,0.87466,0.83051,0.82641,0.82574,0.82342,0.85149
roc_auc,48,0.75521,0.75261,0.74589,0.8393,0.8217,0.77987,0.78662,0.82331,0.83915
roc_auc,49,0.69573,0.75962,0.77283,0.83596,0.79188,0.80512,0.80668,0.85483,0.84659
roc_auc,50,0.73635,0.81947,0.83788,0.84314,0.82338,0.85869,0.8533,0.89059,0.88638
roc_auc,51,0.73944,0.81018,0.81248,0.88152,0.87164,0.85566,0.84494,0.87731,0.86205
roc_auc,52,0.72842,0.77074,0.76496,0.84778,0.7636,0.79009,0.84515,0.83859,0.84236
roc_auc,53,0.7473,0.76379,0.78293,0.82091,0.79611,0.77724,0.80745,0.84746,0.82145
roc_auc,54,0.70032,0.81871,0.80053,0.8682,0.85603,0.87235,0.85426,0.88385,0.89186
roc_auc,55,0.74121,0.76018,0.83373,0.80956,0.83577,0.79314,0.82677,0.86045,0.84128
roc_auc,56,0.77279,0.77626,0.82482,0.83514,0.81355,0.85166,0.86883,0.89691,0.87107
roc_auc,57,0.72072,0.7723,0.76635,0.83072,0.79065,0.82957,0.82836,0.84585,0.87658
roc_auc,58,0.69584,0.76779,0.76271,0.80405,0.80147,0.80571,0.78373,0.82313,0.81625
roc_auc,59,0.75721,0.76437,0.76166,0.85326,0.82049,0.8523,0.86062,0.85158,0.8633
roc_auc,60,0.78239,0.75907,0.79061,0.83057,0.8496,0.82529,0.8356,0.82226,0.84284
roc_auc,61,0.71901,0.75371,0.83095,0.85066,0.84787,0.83813,0.83227,0.86687,0.88725
roc_auc,62,0.75394,0.78138,0.79228,0.8736,0.81176,0.8336,0.82573,0.85888,0.84378
roc_auc,63,0.72099,0.79439,0.76949,0.82673,0.83933,0.84034,0.84581,0.88924,0.88379
roc_auc,64,0.70606,0.79328,0.7866,0.86137,0.81175,0.84042,0.8681,0.84569,0.85244
roc_auc,65,0.7185,0.73979,0.78429,0.83639,0.82578,0.77875,0.812,0.85849,0.8298
roc_auc,66,0.79256,0.84842,0.79443,0.8428,0.81594,0.83816,0.86668,0.86637,0.87544
roc_auc,67,0.74177,0.75189,0.81889,0.81132,0.84598,0.85978,0.851,0.85779,0.861
roc_auc,68,0.72182,0.74174,0.7981,0.85627,0.82463,0.82984,0.81849,0.8553,0.85102
roc_auc,69,0.73123,0.76156,0.76385,0.84788,0.80516,0.80886,0.83048,0.85922,0.8627
roc_auc,70,0.75305,0.7906,0.81368,0.85037,0.81395,0.81614,0.82998,0.85744,0.85797
roc_auc,71,0.72771,0.80519,0.80267,0.83083,0.83105,0.85063,0.82811,0.86235,0.86264
roc_auc,72,0.71915,0.7697,0.79556,0.84988,0.8222,0.80286,0.83164,0.85022,0.86487
roc_auc,73,0.74201,0.78911,0.78357,0.86444,0.83422,0.85166,0.82882,0.85388,0.84525
roc_auc,74,0.727,0.73058,0.76564,0.82216,0.80442,0.80861,0.80936,0.82852,0.81188
roc_auc,75,0.74001,0.80266,0.79794,0.87455,0.81955,0.83653,0.83381,0.83443,0.83594
roc_auc,76,0.74147,0.76137,0.81095,0.87139,0.8173,0.84001,0.82429,0.84914,0.85264
roc_auc,77,0.79721,0.79811,0.81332,0.8488,0.86381,0.86058,0.85775,0.89408,0.89871
roc_auc,78,0.75569,0.78232,0.81282,0.84372,0.86623,0.85974,0.87933,0.88851,0.89199
roc_auc,79,0.72636,0.73829,0.76182,0.77582,0.81936,0.80824,0.79429,0.84585,0.82229
roc_auc,80,0.7566,0.80127,0.81936,0.86387,0.84487,0.86509,0.84308,0.89192,0.86455
roc_auc,81,0.76566,0.77439,0.80169,0.83087,0.82717,0.85126,0.85429,0.87194,0.85795
roc_auc,82,0.7791,0.74422,0.78962,0.83178,0.80938,0.80139,0.82077,0.87129,0.84336
roc_auc,83,0.70497,0.78273,0.78841,0.83372,0.82104,0.84501,0.83277,0.85911,0.8557
roc_auc,84,0.74594,0.74719,0.78382,0.82806,0.81991,0.82542,0.81185,0.85275,0.85162
roc_auc,85,0.72814,0.76092,0.77023,0.8469,0.82036,0.83199,0.8328,0.85536,0.83319
roc_auc,86,0.73595,0.77885,0.84308,0.8725,0.86079,0.86568,0.83652,0.85989,0.87096
roc_auc,87,0.68449,0.70979,0.771,0.78708,0.79198,0.7543,0.80966,0.81888,0.83221
roc_auc,88,0.77045,0.78949,0.79838,0.81578,0.84744,0.85339,0.87054,0.87239,0.87547
roc_auc,89,0.71635,0.80635,0.75115,0.82928,0.78837,0.81965,0.84207,0.83939,0.83688
roc_auc,90,0.79291,0.78337,0.83122,0.82131,0.84804,0.82065,0.84575,0.8639,0.87441
roc_auc,91,0.74719,0.75688,0.82383,0.83774,0.7966,0.80408,0.81002,0.85545,0.83797
roc_auc,92,0.76806,0.80243,0.78663,0.843,0.81075,0.81615,0.82066,0.84953,0.84436
roc_auc,93,0.70892,0.77176,0.79678,0.81653,0.80593,0.80007,0.83066,0.85938,0.85281
roc_auc,94,0.74299,0.77012,0.76981,0.83508,0.81385,0.79176,0.83459,0.84727,0.85127
roc_auc,95,0.75778,0.77495,0.81278,0.87483,0.86908,0.84906,0.85531,0.88022,0.87503
roc_auc,96,0.7799,0.80178,0.81447,0.85049,0.86353,0.83143,0.86128,0.86079,0.86608
roc_auc,97,0.71765,0.77784,0.79654,0.85612,0.82013,0.83003,0.81496,0.87563,0.86897
roc_auc,98,0.73216,0.73528,0.80195,0.83195,0.81745,0.80989,0.80816,0.87115,0.82909
roc_auc,99,0.69985,0.71198,0.77639,0.7971,0.81528,0.79915,0.823,0.82629,0.86108
roc_auc,100,0.7869,0.80947,0.8006,0.89329,0.86901,0.87062,0.87616,0.92176,0.90686
roc_auc,101,0.7155,0.80494,0.7784,0.84536,0.81918,0.81998,0.84787,0.86146,0.88082
roc_auc,102,0.73489,0.73372,0.77316,0.8506,0.81747,0.84743,0.84711,0.83001,0.84343
roc_auc,103,0.72129,0.77244,0.80364,0.82419,0.80317,0.81969,0.79761,0.83988,0.83898
roc_auc,104,0.76748,0.76418,0.81215,0.85709,0.84837,0.84597,0.84163,0.85001,0.86632
roc_auc,105,0.73287,0.81697,0.80578,0.86356,0.84606,0.85254,0.84015,0.90081,0.88549
roc_auc,106,0.73749,0.75795,0.77104,0.81001,0.81106,0.82014,0.85002,0.85011,0.84501
roc_auc,107,0.7435,0.77555,0.78936,0.84738,0.81435,0.79459,0.81305,0.84644,0.84394
roc_auc,108,0.73677,0.81898,0.80226,0.87347,0.85244,0.844,0.83122,0.8547,0.85504
roc_auc,109,0.69719,0.78417,0.7955,0.82642,0.81664,0.8315,0.851,0.86106,0.87301
roc_auc,110,0.76795,0.73865,0.77895,0.83127,0.81071,0.81449,0.83461,0.86497,0.84676
roc_auc,111,0.74709,0.74374,0.79963,0.82254,0.79612,0.80814,0.80498,0.82368,0.83163
roc_auc,112,0.74781,0.79154,0.78065,0.83002,0.83441,0.83059,0.81567,0.85115,0.83221
roc_auc,113,0.7483,0.7397,0.79552,0.84321,0.78579,0.80915,0.81457,0.84855,0.83461
roc_auc,114,0.80129,0.76678,0.79167,0.87782,0.81782,0.8363,0.8517,0.88995,0.89406
roc_auc,115,0.72485,0.79112,0.81074,0.87119,0.85964,0.86267,0.87191,0.87364,0.86943
roc_auc,116,0.75155,0.79323,0.83943,0.83128,0.86237,0.83468,0.84789,0.8781,0.86298
roc_auc,117,0.68841,0.76899,0.77427,0.85386,0.85063,0.82435,0.8397,0.84323,0.84497
roc_auc,118,0.77175,0.77656,0.79051,0.87045,0.81174,0.81823,0.83622,0.88388,0.87507
roc_auc,119,0.73525,0.73515,0.76913,0.82786,0.80077,0.79025,0.79767,0.80652,0.84422
