,,GBT
nef_Ra,0,0.45455
nef_Ra,1,0.5045
nef_Ra,2,0.40541
nef_Ra,3,0.46364
nef_Ra,4,0.51818
nef_Ra,5,0.4955
nef_Ra,6,0.53153
nef_Ra,7,0.40909
nef_Ra,8,0.51818
nef_Ra,9,0.45045
nef_Ra,10,0.54054
nef_Ra,11,0.41818
nef_Ra,12,0.45455
nef_Ra,13,0.48649
nef_Ra,14,0.45946
nef_Ra,15,0.42727
nef_Ra,16,0.49091
nef_Ra,17,0.45045
nef_Ra,18,0.44144
nef_Ra,19,0.48182
nef_Ra,20,0.47273
nef_Ra,21,0.45045
nef_Ra,22,0.45946
nef_Ra,23,0.46364
nef_Ra,24,0.5
nef_Ra,25,0.3964
nef_Ra,26,0.47748
nef_Ra,27,0.5
nef_Ra,28,0.49091
nef_Ra,29,0.41441
nef_Ra,30,0.51351
nef_Ra,31,0.45455
nef_Ra,32,0.46364
nef_Ra,33,0.53153
nef_Ra,34,0.45045
nef_Ra,35,0.49091
nef_Ra,36,0.44545
nef_Ra,37,0.45946
nef_Ra,38,0.42342
nef_Ra,39,0.44545
nef_Ra,40,0.45455
nef_Ra,41,0.4955
nef_Ra,42,0.42342
nef_Ra,43,0.46364
nef_Ra,44,0.40909
nef_Ra,45,0.47748
nef_Ra,46,0.3964
nef_Ra,47,0.54545
nef_Ra,48,0.47273
nef_Ra,49,0.43243
nef_Ra,50,0.45045
nef_Ra,51,0.49091
nef_Ra,52,0.56364
nef_Ra,53,0.43243
nef_Ra,54,0.4955
nef_Ra,55,0.48182
nef_Ra,56,0.46364
nef_Ra,57,0.46847
nef_Ra,58,0.45045
nef_Ra,59,0.51818
nef_Ra,60,0.47273
nef_Ra,61,0.52252
nef_Ra,62,0.46847
nef_Ra,63,0.49091
nef_Ra,64,0.44545
nef_Ra,65,0.54955
nef_Ra,66,0.51351
nef_Ra,67,0.4
nef_Ra,68,0.45455
nef_Ra,69,0.45045
nef_Ra,70,0.46847
nef_Ra,71,0.48182
nef_Ra,72,0.45455
nef_Ra,73,0.47748
nef_Ra,74,0.47748
nef_Ra,75,0.46364
nef_Ra,76,0.45455
nef_Ra,77,0.5045
nef_Ra,78,0.51351
nef_Ra,79,0.37273
nef_Ra,80,0.44545
nef_Ra,81,0.45946
nef_Ra,82,0.52252
nef_Ra,83,0.42727
nef_Ra,84,0.40909
nef_Ra,85,0.45045
nef_Ra,86,0.5045
nef_Ra,87,0.44545
nef_Ra,88,0.5
nef_Ra,89,0.42342
nef_Ra,90,0.42342
nef_Ra,91,0.5
nef_Ra,92,0.46364
nef_Ra,93,0.42342
nef_Ra,94,0.45946
nef_Ra,95,0.49091
nef_Ra,96,0.46364
nef_Ra,97,0.44144
nef_Ra,98,0.52252
nef_Ra,99,0.5
nef_Ra,100,0.44545
nef_Ra,101,0.46847
nef_Ra,102,0.51351
nef_Ra,103,0.49091
nef_Ra,104,0.46364
nef_Ra,105,0.48649
nef_Ra,106,0.4955
nef_Ra,107,0.48182
nef_Ra,108,0.53636
nef_Ra,109,0.46847
nef_Ra,110,0.40541
nef_Ra,111,0.44545
nef_Ra,112,0.43636
nef_Ra,113,0.5045
nef_Ra,114,0.43243
nef_Ra,115,0.44545
nef_Ra,116,0.50909
nef_Ra,117,0.42342
nef_Ra,118,0.46847
nef_Ra,119,0.51818
roc_auc,0,0.82592
roc_auc,1,0.85006
roc_auc,2,0.81755
roc_auc,3,0.82587
roc_auc,4,0.82124
roc_auc,5,0.83562
roc_auc,6,0.86857
roc_auc,7,0.79688
roc_auc,8,0.85575
roc_auc,9,0.80793
roc_auc,10,0.85027
roc_auc,11,0.83482
roc_auc,12,0.82546
roc_auc,13,0.83216
roc_auc,14,0.81548
roc_auc,15,0.82058
roc_auc,16,0.82979
roc_auc,17,0.85809
roc_auc,18,0.78369
roc_auc,19,0.82143
roc_auc,20,0.83422
roc_auc,21,0.81012
roc_auc,22,0.83813
roc_auc,23,0.83027
roc_auc,24,0.8573
roc_auc,25,0.77423
roc_auc,26,0.83702
roc_auc,27,0.86081
roc_auc,28,0.83146
roc_auc,29,0.83961
roc_auc,30,0.85689
roc_auc,31,0.78698
roc_auc,32,0.84654
roc_auc,33,0.8712
roc_auc,34,0.80774
roc_auc,35,0.8238
roc_auc,36,0.81731
roc_auc,37,0.82572
roc_auc,38,0.82308
roc_auc,39,0.82384
roc_auc,40,0.83544
roc_auc,41,0.86529
roc_auc,42,0.79632
roc_auc,43,0.80984
roc_auc,44,0.81888
roc_auc,45,0.82681
roc_auc,46,0.81717
roc_auc,47,0.86459
roc_auc,48,0.83367
roc_auc,49,0.80626
roc_auc,50,0.8279
roc_auc,51,0.85067
roc_auc,52,0.85237
roc_auc,53,0.80312
roc_auc,54,0.83808
roc_auc,55,0.82324
roc_auc,56,0.83288
roc_auc,57,0.85065
roc_auc,58,0.79181
roc_auc,59,0.8393
roc_auc,60,0.83775
roc_auc,61,0.82349
roc_auc,62,0.82551
roc_auc,63,0.84818
roc_auc,64,0.82686
roc_auc,65,0.85488
roc_auc,66,0.83467
roc_auc,67,0.81165
roc_auc,68,0.82856
roc_auc,69,0.82757
roc_auc,70,0.82045
roc_auc,71,0.82628
roc_auc,72,0.79046
roc_auc,73,0.83651
roc_auc,74,0.85307
roc_auc,75,0.80958
roc_auc,76,0.82822
roc_auc,77,0.82084
roc_auc,78,0.82834
roc_auc,79,0.80402
roc_auc,80,0.82694
roc_auc,81,0.83981
roc_auc,82,0.84939
roc_auc,83,0.81196
roc_auc,84,0.82764
roc_auc,85,0.83511
roc_auc,86,0.83825
roc_auc,87,0.79102
roc_auc,88,0.84109
roc_auc,89,0.81458
roc_auc,90,0.83662
roc_auc,91,0.80303
roc_auc,92,0.81599
roc_auc,93,0.79812
roc_auc,94,0.87319
roc_auc,95,0.83205
roc_auc,96,0.83202
roc_auc,97,0.78991
roc_auc,98,0.86327
roc_auc,99,0.82876
roc_auc,100,0.81715
roc_auc,101,0.84008
roc_auc,102,0.85015
roc_auc,103,0.8102
roc_auc,104,0.81268
roc_auc,105,0.85069
roc_auc,106,0.82941
roc_auc,107,0.81858
roc_auc,108,0.85961
roc_auc,109,0.83694
roc_auc,110,0.79183
roc_auc,111,0.81915
roc_auc,112,0.80466
roc_auc,113,0.83565
roc_auc,114,0.84706
roc_auc,115,0.81962
roc_auc,116,0.83607
roc_auc,117,0.81483
roc_auc,118,0.81565
roc_auc,119,0.84027
